Trip ID,Date,Retailer,Parent Brand,User ID,Item Dollars,Item Units
9518383,1/2/2014,Walmart,Monster,118789,$2,1
9536651,1/2/2014,Walmart,Red Bull,191043,$2,1
9538542,1/2/2014,Walmart,Red Bull,36949,$2,1
9540308,1/2/2014,Walgreens,5 Hour Energy,310300,$8,2
9543394,1/2/2014,Kroger,Rockstar,310076,$9,5
9546752,1/2/2014,Walgreens,Red Bull,351762,$2,1
9548044,1/2/2014,Kroger,Monster,100091,$4,2
9548475,1/2/2014,Walmart,Monster,36112,$5,3
9549079,1/2/2014,Kroger,Red Bull,313676,$12,2
9553173,1/2/2014,CVS,Rockstar,162323,$3,2
9553683,1/2/2014,Publix,Red Bull,80484,$4,1
9555932,1/2/2014,Walmart,5 Hour Energy,98838,$10,1
9556773,1/2/2014,Kroger,Red Bull,352626,$2,1
9556854,1/2/2014,Publix,Red Bull,5020,$3,1
9556964,1/2/2014,Kroger,5 Hour Energy,303033,$3,1
9557452,1/2/2014,Costco,Rockstar,314658,$87,3
9557985,1/2/2014,Target,Monster,86264,$6,1
9559719,1/2/2014,Kroger,Monster,175946,$5,1
9559844,1/2/2014,Kroger,Rockstar,105555,$7,4
9560602,1/2/2014,Walmart,Rockstar,362526,$2,1
9561235,1/2/2014,Kroger,Rockstar,97427,$36,1
9562911,1/2/2014,Target,Monster,157045,$3,2
9563314,1/2/2014,Walmart,Monster,151326,$2,1
9564238,1/2/2014,Target,Red Bull,283622,$2,1
9564962,1/2/2014,Kroger,Monster,294871,$5,2
9564985,1/2/2014,Target,Red Bull,195361,$4,2
9565424,1/2/2014,Kroger,Red Bull,330553,$6,1
9565906,1/2/2014,Walgreens,Red Bull,81420,$6,1
9566012,1/2/2014,Walmart,Monster,264177,$2,1
9566449,1/2/2014,Target,Red Bull,86554,$6,1
9566668,1/2/2014,Walmart,Rockstar,341164,$2,1
9566701,1/2/2014,Target,Monster,82208,$3,1
9567494,1/2/2014,Target,Rockstar,359073,$2,1
9567915,1/2/2014,Walmart,Red Bull,196435,$6,1
9569738,1/2/2014,Walmart,Red Bull,11211,$2,1
9569968,1/2/2014,CVS,Monster,201856,$2,1
9570052,1/2/2014,Kroger,Red Bull,277641,$2,1
9570551,1/2/2014,Kroger,Rockstar,134649,$4,2
9570647,1/2/2014,Kroger,Red Bull,151326,$5,2
9570647,1/2/2014,Kroger,Rockstar,151326,$4,2
9572040,1/2/2014,Walmart,Monster,219224,$2,1
9572051,1/2/2014,Walgreens,Monster,204969,$7,2
9572511,1/2/2014,Kroger,Monster,346032,$2,1
9572682,1/2/2014,Walmart,Rockstar,102758,$6,1
9573876,1/2/2014,Target,Monster,323585,$2,1
9574455,1/2/2014,Walmart,Red Bull,114127,$6,1
9575210,1/2/2014,Kroger,Monster,54376,$12,5
9575577,1/2/2014,Walgreens,Monster,159670,$3,1
9577898,1/2/2014,Target,Red Bull,78578,$6,1
9577953,1/2/2014,Target,Monster,280678,$2,1
9578679,1/2/2014,Publix,5 Hour Energy,311401,$4,1
9579710,1/2/2014,Kroger,Red Bull,116962,$2,1
9580156,1/2/2014,Safeway,Monster,203559,$2,1
9580303,1/2/2014,Kroger,Rockstar,60763,$7,4
9581355,1/2/2014,Walmart,5 Hour Energy,327512,$10,1
9581371,1/2/2014,CVS,5 Hour Energy,361089,$8,2
9583304,1/2/2014,Target,Red Bull,36245,$7,2
9583371,1/2/2014,Kroger,Rockstar,210260,$10,5
9584526,1/3/2014,Walmart,Monster,105293,$29,2
9584966,1/2/2014,Kroger,Rockstar,310076,$11,6
9584982,1/2/2014,Walmart,Red Bull,275334,$12,2
9585208,1/2/2014,Walmart,Red Bull,95104,$5,2
9585454,1/2/2014,Walgreens,Red Bull,357292,$4,2
9586407,1/3/2014,Kroger,Monster,91935,$2,1
9587414,1/3/2014,Walgreens,Red Bull,130784,$7,2
9587453,1/2/2014,Publix,Red Bull,193466,$2,1
9587500,1/2/2014,Walmart,5 Hour Energy,10062,$2,1
9589282,1/3/2014,Kroger,Monster,343195,$2,1
9589351,1/2/2014,CVS,Monster,136237,$5,2
9589661,1/2/2014,Target,Red Bull,232770,$3,1
9591043,1/2/2014,Walmart,Rockstar,341164,$2,1
9591053,1/3/2014,Walmart,Monster,341164,$2,1
9591354,1/3/2014,Kroger,Red Bull,313676,$12,2
9591972,1/2/2014,Walmart,Monster,77770,$2,1
9593452,1/3/2014,Kroger,Red Bull,115846,$6,1
9594781,1/3/2014,Publix,Monster,357374,$2,1
9595068,1/2/2014,Kroger,Red Bull,76485,$7,1
9595205,1/2/2014,Kroger,Rockstar,136410,$2,1
9595632,1/2/2014,Walmart,Red Bull,353777,$6,1
9596064,1/2/2014,Kroger,Monster,105490,$2,1
9597749,1/3/2014,Publix,Monster,211622,$5,3
